entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,location,package_count,task_duration_mins
RoboPack-1,position_poll,position,908.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,909.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,910.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,911.0,,,,,600.0,300.0,,,
RoboPack-1,queue,maintenance,911.0,,,,,600.0,300.0,,,4.0
RoboPack-1,position_poll,position,912.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,913.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,914.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,915.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,916.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,917.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,918.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,918.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,919.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,920.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,921.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,922.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,923.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,924.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,925.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,926.0,,,,,400.0,400.0,,,
RoboPack-1,position_poll,position,927.0,,,,,400.0,500.0,,,
RoboPack-1,action,picked_up_4_packages,927.0,,,,,400.0,500.0,pickup_3,,
RoboPack-1,position_poll,position,928.0,,,,,400.0,500.0,,,
RoboPack-1,position_poll,position,929.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,930.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_3,930.0,,,,,300.0,300.0,,4.0,
RoboPack-1,position_poll,position,931.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,932.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,933.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,934.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,935.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,936.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,937.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,938.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,939.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,940.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,941.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,942.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,943.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,944.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,945.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,946.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,947.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,948.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,949.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,950.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,950.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,951.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,952.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,953.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,954.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,955.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,956.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,957.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,958.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,959.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,960.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,961.0,,,,,600.0,200.0,,,
RoboPack-1,position_poll,position,962.0,,,,,600.0,100.0,,,
RoboPack-1,action,picked_up_2_packages,962.0,,,,,600.0,100.0,pickup_8,,
RoboPack-1,position_poll,position,963.0,,,,,600.0,100.0,,,
RoboPack-1,position_poll,position,964.0,,,,,500.0,100.0,,,
RoboPack-1,position_poll,position,965.0,,,,,400.0,100.0,,,
RoboPack-1,position_poll,position,966.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,967.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_8,967.0,,,,,300.0,300.0,,2.0,
RoboPack-1,position_poll,position,968.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,969.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,970.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,971.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,972.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,973.0,,,,,300.0,300.0,,,
