entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,package_count,task_duration_mins
RoboPack-7,position_poll,position,14.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,14.0,,,,,550.0,300.0,,
RoboPack-1,position_poll,position,15.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,15.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,15.0,,,,,350.0,270.0,,
RoboPack-4,position_poll,position,15.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,15.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,15.0,,,,,124.99999999999997,270.0,,
RoboPack-7,position_poll,position,15.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,15.0,,,,,550.0,270.0,,
RoboPack-3,queue,pickup_8,15.7,,,,,300.0,270.0,5.0,
RoboPack-1,position_poll,position,16.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,16.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,16.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,16.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,16.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,16.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,16.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,16.0,,,,,450.0,270.0,,
RoboPack-1,position_poll,position,17.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,17.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,17.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,17.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,17.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,17.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,17.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,17.0,,,,,350.0,270.0,,
RoboPack-8,queue,pickup_4,17.049999999999997,,,,,315.0,300.0,1.0,
RoboPack-4,queue,packing,17.950000000000003,,,,,315.0,270.0,,
RoboPack-1,position_poll,position,18.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,18.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,18.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,18.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,18.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,18.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,18.0,,,,,300.0,300.0,,
