entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
Car 24,arrival_departure,depart,5799.0,,,,
Car 26,resource_use,pumping_begins,5799.0,,,,1.0
Call 4,arrival_departure,arrival,5800.0,,,,
Call 4,queue,calling_truck,5800.0,,,,
Car 25,resource_use_end,pumping_ends,5811.5,,,,2.0
Car 25,arrival_departure,depart,5811.5,,,,
Car 27,resource_use,pumping_begins,5811.5,,,,2.0
Car 26,resource_use_end,pumping_ends,5820.5,,,,1.0
Car 26,arrival_departure,depart,5820.5,,,,
Car 28,resource_use,pumping_begins,5820.5,,,,1.0
Car 38,arrival_departure,arrival,5908.0,,,,
Car 38,queue,pump_queue_wait_begins,5908.0,,,,
Call 4,arrival_departure,depart,6100.0,,,,
Truck 4,arrival_departure,arrival,6100.0,,,,
Truck 4,queue,refueling,6100.0,,,,
Car 39,arrival_departure,arrival,6174.0,,,,
Car 39,queue,pump_queue_wait_begins,6174.0,,,,
Car 40,arrival_departure,arrival,6342.0,,,,
Car 40,queue,pump_queue_wait_begins,6342.0,,,,
Car 41,arrival_departure,arrival,6484.0,,,,
Car 41,queue,pump_queue_wait_begins,6484.0,,,,
Car 42,arrival_departure,arrival,6542.0,,,,
Car 42,queue,pump_queue_wait_begins,6542.0,,,,
Car 43,arrival_departure,arrival,6588.0,,,,
Car 43,queue,pump_queue_wait_begins,6588.0,,,,
Car 44,arrival_departure,arrival,6823.0,,,,
Car 44,queue,pump_queue_wait_begins,6823.0,,,,
Car 45,arrival_departure,arrival,6886.0,,,,
Car 45,queue,pump_queue_wait_begins,6886.0,,,,
Car 46,arrival_departure,arrival,7077.0,,,,
Car 46,queue,pump_queue_wait_begins,7077.0,,,,
Truck 4,arrival_departure,depart,7100.0,,,,
Car 27,resource_use_end,pumping_ends,7119.0,,,,2.0
Car 27,arrival_departure,depart,7119.0,,,,
Car 29,resource_use,pumping_begins,7119.0,,,,2.0
Car 28,resource_use_end,pumping_ends,7121.5,,,,1.0
Car 28,arrival_departure,depart,7121.5,,,,
Car 30,resource_use,pumping_begins,7121.5,,,,1.0
Call 5,arrival_departure,arrival,7130.0,,,,
Call 5,queue,calling_truck,7130.0,,,,
Car 29,resource_use_end,pumping_ends,7140.0,,,,2.0
Car 29,arrival_departure,depart,7140.0,,,,
Car 30,resource_use_end,pumping_ends,7140.0,,,,1.0
Car 30,arrival_departure,depart,7140.0,,,,
Car 31,resource_use,pumping_begins,7140.0,,,,2.0
Car 32,resource_use,pumping_begins,7140.0,,,,1.0
Car 31,resource_use_end,pumping_ends,7152.5,,,,2.0
Car 31,arrival_departure,depart,7152.5,,,,
Car 33,resource_use,pumping_begins,7152.5,,,,2.0
Car 47,arrival_departure,arrival,7362.0,,,,
Car 47,queue,pump_queue_wait_begins,7362.0,,,,
Call 5,arrival_departure,depart,7430.0,,,,
Truck 5,arrival_departure,arrival,7430.0,,,,
Truck 5,queue,refueling,7430.0,,,,
Car 48,arrival_departure,arrival,7626.0,,,,
Car 48,queue,pump_queue_wait_begins,7626.0,,,,
Car 49,arrival_departure,arrival,7791.0,,,,
Car 49,queue,pump_queue_wait_begins,7791.0,,,,
Car 50,arrival_departure,arrival,7947.0,,,,
Car 50,queue,pump_queue_wait_begins,7947.0,,,,
Car 51,arrival_departure,arrival,8111.0,,,,
Car 51,queue,pump_queue_wait_begins,8111.0,,,,
Car 52,arrival_departure,arrival,8360.0,,,,
Car 52,queue,pump_queue_wait_begins,8360.0,,,,
Truck 5,arrival_departure,depart,8430.0,,,,
Car 33,resource_use_end,pumping_ends,8447.0,,,,2.0
Car 33,arrival_departure,depart,8447.0,,,,
Car 34,resource_use,pumping_begins,8447.0,,,,2.0
Car 32,resource_use_end,pumping_ends,8450.0,,,,1.0
Car 32,arrival_departure,depart,8450.0,,,,
Car 35,resource_use,pumping_begins,8450.0,,,,1.0
Car 35,resource_use_end,pumping_ends,8463.0,,,,1.0
Car 35,arrival_departure,depart,8463.0,,,,
Car 36,resource_use,pumping_begins,8463.0,,,,1.0
Car 34,resource_use_end,pumping_ends,8465.5,,,,2.0
Car 34,arrival_departure,depart,8465.5,,,,
Car 37,resource_use,pumping_begins,8465.5,,,,2.0
Call 6,arrival_departure,arrival,8470.0,,,,
Call 6,queue,calling_truck,8470.0,,,,
Car 36,resource_use_end,pumping_ends,8477.0,,,,1.0
Car 36,arrival_departure,depart,8477.0,,,,
Car 38,resource_use,pumping_begins,8477.0,,,,1.0
Car 53,arrival_departure,arrival,8594.0,,,,
Car 53,queue,pump_queue_wait_begins,8594.0,,,,
Car 54,arrival_departure,arrival,8736.0,,,,
Car 54,queue,pump_queue_wait_begins,8736.0,,,,
Call 6,arrival_departure,depart,8770.0,,,,
Truck 6,arrival_departure,arrival,8770.0,,,,
Truck 6,queue,refueling,8770.0,,,,
Car 55,arrival_departure,arrival,9026.0,,,,
Car 55,queue,pump_queue_wait_begins,9026.0,,,,
Car 56,arrival_departure,arrival,9102.0,,,,
Car 56,queue,pump_queue_wait_begins,9102.0,,,,
Car 57,arrival_departure,arrival,9188.0,,,,
Car 57,queue,pump_queue_wait_begins,9188.0,,,,
Car 58,arrival_departure,arrival,9299.0,,,,
Car 58,queue,pump_queue_wait_begins,9299.0,,,,
Car 59,arrival_departure,arrival,9361.0,,,,
Car 59,queue,pump_queue_wait_begins,9361.0,,,,
Car 60,arrival_departure,arrival,9586.0,,,,
Car 60,queue,pump_queue_wait_begins,9586.0,,,,
Truck 6,arrival_departure,depart,9770.0,,,,
Car 38,resource_use_end,pumping_ends,9786.5,,,,1.0
Car 38,arrival_departure,depart,9786.5,,,,
Car 39,resource_use,pumping_begins,9786.5,,,,1.0
Car 37,resource_use_end,pumping_ends,9790.0,,,,2.0
Car 37,arrival_departure,depart,9790.0,,,,
Car 40,resource_use,pumping_begins,9790.0,,,,2.0
Car 39,resource_use_end,pumping_ends,9799.0,,,,1.0
Car 39,arrival_departure,depart,9799.0,,,,
Car 41,resource_use,pumping_begins,9799.0,,,,1.0
Call 7,arrival_departure,arrival,9800.0,,,,
Call 7,queue,calling_truck,9800.0,,,,
Car 40,resource_use_end,pumping_ends,9807.5,,,,2.0
Car 40,arrival_departure,depart,9807.5,,,,
Car 42,resource_use,pumping_begins,9807.5,,,,2.0
Car 41,resource_use_end,pumping_ends,9818.0,,,,1.0
Car 41,arrival_departure,depart,9818.0,,,,
Car 43,resource_use,pumping_begins,9818.0,,,,1.0
Car 61,arrival_departure,arrival,9855.0,,,,
Car 61,queue,pump_queue_wait_begins,9855.0,,,,
Car 62,arrival_departure,arrival,10013.0,,,,
Car 62,queue,pump_queue_wait_begins,10013.0,,,,
Car 63,arrival_departure,arrival,10048.0,,,,
Car 63,queue,pump_queue_wait_begins,10048.0,,,,
Call 7,arrival_departure,depart,10100.0,,,,
Truck 7,arrival_departure,arrival,10100.0,,,,
Truck 7,queue,refueling,10100.0,,,,
Car 64,arrival_departure,arrival,10214.0,,,,
Car 64,queue,pump_queue_wait_begins,10214.0,,,,
Car 65,arrival_departure,arrival,10418.0,,,,
Car 65,queue,pump_queue_wait_begins,10418.0,,,,
Car 66,arrival_departure,arrival,10598.0,,,,
Car 66,queue,pump_queue_wait_begins,10598.0,,,,
Car 67,arrival_departure,arrival,10708.0,,,,
Car 67,queue,pump_queue_wait_begins,10708.0,,,,
Car 68,arrival_departure,arrival,10739.0,,,,
Car 68,queue,pump_queue_wait_begins,10739.0,,,,
Car 69,arrival_departure,arrival,11025.0,,,,
Car 69,queue,pump_queue_wait_begins,11025.0,,,,
Truck 7,arrival_departure,depart,11100.0,,,,
Car 42,resource_use_end,pumping_ends,11117.5,,,,2.0
Car 42,arrival_departure,depart,11117.5,,,,
Car 44,resource_use,pumping_begins,11117.5,,,,2.0
Car 43,resource_use_end,pumping_ends,11118.5,,,,1.0
Car 43,arrival_departure,depart,11118.5,,,,
Car 45,resource_use,pumping_begins,11118.5,,,,1.0
Car 44,resource_use_end,pumping_ends,11137.0,,,,2.0
Car 44,arrival_departure,depart,11137.0,,,,
Car 46,resource_use,pumping_begins,11137.0,,,,2.0
Car 45,resource_use_end,pumping_ends,11138.0,,,,1.0
Car 45,arrival_departure,depart,11138.0,,,,
Car 47,resource_use,pumping_begins,11138.0,,,,1.0
Call 8,arrival_departure,arrival,11140.0,,,,
Call 8,queue,calling_truck,11140.0,,,,
Car 46,resource_use_end,pumping_ends,11153.5,,,,2.0
Car 46,arrival_departure,depart,11153.5,,,,
Car 48,resource_use,pumping_begins,11153.5,,,,2.0
Car 70,arrival_departure,arrival,11314.0,,,,
Car 70,queue,pump_queue_wait_begins,11314.0,,,,
Call 8,arrival_departure,depart,11440.0,,,,
Truck 8,arrival_departure,arrival,11440.0,,,,
Truck 8,queue,refueling,11440.0,,,,
Car 71,arrival_departure,arrival,11496.0,,,,
Car 71,queue,pump_queue_wait_begins,11496.0,,,,
Car 72,arrival_departure,arrival,11785.0,,,,
Car 72,queue,pump_queue_wait_begins,11785.0,,,,
Car 73,arrival_departure,arrival,11916.0,,,,
Car 73,queue,pump_queue_wait_begins,11916.0,,,,
Car 74,arrival_departure,arrival,12137.0,,,,
Car 74,queue,pump_queue_wait_begins,12137.0,,,,
Car 75,arrival_departure,arrival,12167.0,,,,
Car 75,queue,pump_queue_wait_begins,12167.0,,,,
Car 76,arrival_departure,arrival,12362.0,,,,
Car 76,queue,pump_queue_wait_begins,12362.0,,,,
Car 77,arrival_departure,arrival,12401.0,,,,
Car 77,queue,pump_queue_wait_begins,12401.0,,,,
Truck 8,arrival_departure,depart,12440.0,,,,
Car 47,resource_use_end,pumping_ends,12460.5,,,,1.0
Car 47,arrival_departure,depart,12460.5,,,,
Car 48,resource_use_end,pumping_ends,12460.5,,,,2.0
Car 48,arrival_departure,depart,12460.5,,,,
Car 49,resource_use,pumping_begins,12460.5,,,,1.0
Car 50,resource_use,pumping_begins,12460.5,,,,2.0
Car 50,resource_use_end,pumping_ends,12474.0,,,,2.0
Car 50,arrival_departure,depart,12474.0,,,,
Car 51,resource_use,pumping_begins,12474.0,,,,2.0
Car 49,resource_use_end,pumping_ends,12474.5,,,,1.0
Car 49,arrival_departure,depart,12474.5,,,,
Car 52,resource_use,pumping_begins,12474.5,,,,1.0
Call 9,arrival_departure,arrival,12480.0,,,,
Call 9,queue,calling_truck,12480.0,,,,
Car 51,resource_use_end,pumping_ends,12487.5,,,,2.0
Car 51,arrival_departure,depart,12487.5,,,,
Car 53,resource_use,pumping_begins,12487.5,,,,2.0
Car 52,resource_use_end,pumping_ends,12491.5,,,,1.0
Car 52,arrival_departure,depart,12491.5,,,,
Car 54,resource_use,pumping_begins,12491.5,,,,1.0
Car 78,arrival_departure,arrival,12616.0,,,,
Car 78,queue,pump_queue_wait_begins,12616.0,,,,
Car 79,arrival_departure,arrival,12768.0,,,,
Car 79,queue,pump_queue_wait_begins,12768.0,,,,
Call 9,arrival_departure,depart,12780.0,,,,
Truck 9,arrival_departure,arrival,12780.0,,,,
Truck 9,queue,refueling,12780.0,,,,
Car 80,arrival_departure,arrival,12921.0,,,,
Car 80,queue,pump_queue_wait_begins,12921.0,,,,
Car 81,arrival_departure,arrival,12991.0,,,,
Car 81,queue,pump_queue_wait_begins,12991.0,,,,
Car 82,arrival_departure,arrival,13269.0,,,,
Car 82,queue,pump_queue_wait_begins,13269.0,,,,
Car 83,arrival_departure,arrival,13363.0,,,,
Car 83,queue,pump_queue_wait_begins,13363.0,,,,
Car 84,arrival_departure,arrival,13636.0,,,,
Car 84,queue,pump_queue_wait_begins,13636.0,,,,
Car 85,arrival_departure,arrival,13750.0,,,,
Car 85,queue,pump_queue_wait_begins,13750.0,,,,
Truck 9,arrival_departure,depart,13780.0,,,,
Car 54,resource_use_end,pumping_ends,13795.0,,,,1.0
Car 54,arrival_departure,depart,13795.0,,,,
Car 55,resource_use,pumping_begins,13795.0,,,,1.0
Car 53,resource_use_end,pumping_ends,13800.5,,,,2.0
Car 53,arrival_departure,depart,13800.5,,,,
Car 56,resource_use,pumping_begins,13800.5,,,,2.0
Call 10,arrival_departure,arrival,13810.0,,,,
Call 10,queue,calling_truck,13810.0,,,,
Car 55,resource_use_end,pumping_ends,13817.0,,,,1.0
Car 55,arrival_departure,depart,13817.0,,,,
Car 57,resource_use,pumping_begins,13817.0,,,,1.0
Car 56,resource_use_end,pumping_ends,13821.0,,,,2.0
Car 56,arrival_departure,depart,13821.0,,,,
Car 58,resource_use,pumping_begins,13821.0,,,,2.0
Car 57,resource_use_end,pumping_ends,13833.0,,,,1.0
Car 57,arrival_departure,depart,13833.0,,,,
Car 59,resource_use,pumping_begins,13833.0,,,,1.0
Car 86,arrival_departure,arrival,14050.0,,,,
Car 86,queue,pump_queue_wait_begins,14050.0,,,,
Call 10,arrival_departure,depart,14110.0,,,,
Truck 10,arrival_departure,arrival,14110.0,,,,
Truck 10,queue,refueling,14110.0,,,,
Car 87,arrival_departure,arrival,14296.0,,,,
Car 87,queue,pump_queue_wait_begins,14296.0,,,,
