,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
148,Car 29,resource_use_end,carwashing_ends,181.0,,,,2.0
149,Car 29,arrival_departure,depart,181.0,,,,
150,Car 30,arrival_departure,arrival,184.0,,,,
151,Car 30,queue,carwash_queue_wait_begins,184.0,,,,
152,Car 30,resource_use,carwashing_begins,184.0,,,,1.0
153,Car 30,resource_use_end,carwashing_ends,189.0,,,,1.0
154,Car 30,arrival_departure,depart,189.0,,,,
155,Car 31,arrival_departure,arrival,191.0,,,,
156,Car 31,queue,carwash_queue_wait_begins,191.0,,,,
157,Car 31,resource_use,carwashing_begins,191.0,,,,2.0
158,Car 31,resource_use_end,carwashing_ends,196.0,,,,2.0
159,Car 31,arrival_departure,depart,196.0,,,,
160,Car 32,arrival_departure,arrival,198.0,,,,
161,Car 32,queue,carwash_queue_wait_begins,198.0,,,,
162,Car 32,resource_use,carwashing_begins,198.0,,,,1.0
163,Car 33,arrival_departure,arrival,203.0,,,,
164,Car 33,queue,carwash_queue_wait_begins,203.0,,,,
165,Car 33,resource_use,carwashing_begins,203.0,,,,2.0
166,Car 32,resource_use_end,carwashing_ends,203.0,,,,1.0
167,Car 32,arrival_departure,depart,203.0,,,,
168,Car 33,resource_use_end,carwashing_ends,208.0,,,,2.0
169,Car 33,arrival_departure,depart,208.0,,,,
170,Car 34,arrival_departure,arrival,210.0,,,,
171,Car 34,queue,carwash_queue_wait_begins,210.0,,,,
172,Car 34,resource_use,carwashing_begins,210.0,,,,1.0
173,Car 34,resource_use_end,carwashing_ends,215.0,,,,1.0
174,Car 34,arrival_departure,depart,215.0,,,,
175,Car 35,arrival_departure,arrival,218.0,,,,
176,Car 35,queue,carwash_queue_wait_begins,218.0,,,,
177,Car 35,resource_use,carwashing_begins,218.0,,,,2.0
178,Car 35,resource_use_end,carwashing_ends,223.0,,,,2.0
179,Car 35,arrival_departure,depart,223.0,,,,
180,Car 36,arrival_departure,arrival,226.0,,,,
181,Car 36,queue,carwash_queue_wait_begins,226.0,,,,
182,Car 36,resource_use,carwashing_begins,226.0,,,,1.0
183,Car 36,resource_use_end,carwashing_ends,231.0,,,,1.0
184,Car 36,arrival_departure,depart,231.0,,,,
185,Car 37,arrival_departure,arrival,233.0,,,,
186,Car 37,queue,carwash_queue_wait_begins,233.0,,,,
187,Car 37,resource_use,carwashing_begins,233.0,,,,2.0
188,Car 37,resource_use_end,carwashing_ends,238.0,,,,2.0
189,Car 37,arrival_departure,depart,238.0,,,,
190,Car 38,arrival_departure,arrival,239.0,,,,
191,Car 38,queue,carwash_queue_wait_begins,239.0,,,,
192,Car 38,resource_use,carwashing_begins,239.0,,,,1.0
193,Car 38,resource_use_end,carwashing_ends,244.0,,,,1.0
194,Car 38,arrival_departure,depart,244.0,,,,
195,Car 39,arrival_departure,arrival,247.0,,,,
196,Car 39,queue,carwash_queue_wait_begins,247.0,,,,
197,Car 39,resource_use,carwashing_begins,247.0,,,,2.0
198,Car 39,resource_use_end,carwashing_ends,252.0,,,,2.0
199,Car 39,arrival_departure,depart,252.0,,,,
200,Car 40,arrival_departure,arrival,255.0,,,,
201,Car 40,queue,carwash_queue_wait_begins,255.0,,,,
202,Car 40,resource_use,carwashing_begins,255.0,,,,1.0
203,Car 40,resource_use_end,carwashing_ends,260.0,,,,1.0
204,Car 40,arrival_departure,depart,260.0,,,,
205,Car 41,arrival_departure,arrival,261.0,,,,
206,Car 41,queue,carwash_queue_wait_begins,261.0,,,,
207,Car 41,resource_use,carwashing_begins,261.0,,,,2.0
208,Car 41,resource_use_end,carwashing_ends,266.0,,,,2.0
209,Car 41,arrival_departure,depart,266.0,,,,
