entity_id,pathway,event_type,event,time,resource_id,run,activity_id,lifecycle_id
30,Simplest,resource_use,treatment_begins,280.7089326715353,4.0,0,81,start
30,Simplest,resource_use,treatment_begins,281.86136588092774,4.0,0,81,complete
31,Simplest,resource_use,treatment_begins,281.86136588092774,2.0,0,82,start
31,Simplest,resource_use,treatment_begins,294.2683688670028,2.0,0,82,complete
52,Simplest,queue,treatment_wait_begins,294.2683688670028,,0,83,start
52,Simplest,queue,treatment_wait_begins,294.31760819175315,,0,83,complete
32,Simplest,resource_use,treatment_begins,294.31760819175315,3.0,0,84,start
32,Simplest,resource_use,treatment_begins,294.80688202424653,3.0,0,84,complete
53,Simplest,queue,treatment_wait_begins,294.80688202424653,,0,85,start
53,Simplest,queue,treatment_wait_begins,296.20459597787413,,0,85,complete
54,Simplest,queue,treatment_wait_begins,296.20459597787413,,0,86,start
54,Simplest,queue,treatment_wait_begins,297.69083939303624,,0,86,complete
55,Simplest,queue,treatment_wait_begins,297.69083939303624,,0,87,start
55,Simplest,queue,treatment_wait_begins,301.50862407767903,,0,87,complete
56,Simplest,queue,treatment_wait_begins,301.50862407767903,,0,88,start
56,Simplest,queue,treatment_wait_begins,301.5834453457665,,0,88,complete
33,Simplest,resource_use,treatment_begins,301.5834453457665,1.0,0,89,start
33,Simplest,resource_use,treatment_begins,306.1873503801757,1.0,0,89,complete
57,Simplest,queue,treatment_wait_begins,306.1873503801757,,0,90,start
57,Simplest,queue,treatment_wait_begins,308.86706443409287,,0,90,complete
58,Simplest,queue,treatment_wait_begins,308.86706443409287,,0,91,start
58,Simplest,queue,treatment_wait_begins,309.4898346046041,,0,91,complete
59,Simplest,queue,treatment_wait_begins,309.4898346046041,,0,92,start
59,Simplest,queue,treatment_wait_begins,316.8636715846829,,0,92,complete
34,Simplest,resource_use,treatment_begins,316.8636715846829,2.0,0,93,start
34,Simplest,resource_use,treatment_begins,319.47979138745285,2.0,0,93,complete
60,Simplest,queue,treatment_wait_begins,319.47979138745285,,0,94,start
60,Simplest,queue,treatment_wait_begins,321.50334562611835,,0,94,complete
35,Simplest,resource_use,treatment_begins,321.50334562611835,4.0,0,95,start
35,Simplest,resource_use,treatment_begins,321.9671109647446,4.0,0,95,complete
61,Simplest,queue,treatment_wait_begins,321.9671109647446,,0,96,start
61,Simplest,queue,treatment_wait_begins,322.5349605380473,,0,96,complete
62,Simplest,queue,treatment_wait_begins,322.5349605380473,,0,97,start
62,Simplest,queue,treatment_wait_begins,326.3911426757361,,0,97,complete
63,Simplest,queue,treatment_wait_begins,326.3911426757361,,0,98,start
63,Simplest,queue,treatment_wait_begins,327.8736408886442,,0,98,complete
64,Simplest,queue,treatment_wait_begins,327.8736408886442,,0,99,start
64,Simplest,queue,treatment_wait_begins,329.95325151423344,,0,99,complete
65,Simplest,queue,treatment_wait_begins,329.95325151423344,,0,100,start
65,Simplest,queue,treatment_wait_begins,331.21260589430614,,0,100,complete
66,Simplest,queue,treatment_wait_begins,331.21260589430614,,0,101,start
66,Simplest,queue,treatment_wait_begins,332.98828838094363,,0,101,complete
36,Simplest,resource_use,treatment_begins,332.98828838094363,3.0,0,102,start
36,Simplest,resource_use,treatment_begins,333.7884379393319,3.0,0,102,complete
67,Simplest,queue,treatment_wait_begins,333.7884379393319,,0,103,start
67,Simplest,queue,treatment_wait_begins,338.7769612360769,,0,103,complete
68,Simplest,queue,treatment_wait_begins,338.7769612360769,,0,104,start
68,Simplest,queue,treatment_wait_begins,339.2610870822083,,0,104,complete
69,Simplest,queue,treatment_wait_begins,339.2610870822083,,0,105,start
69,Simplest,queue,treatment_wait_begins,340.4953925686316,,0,105,complete
37,Simplest,resource_use,treatment_begins,340.4953925686316,1.0,0,106,start
37,Simplest,resource_use,treatment_begins,345.1737342355195,1.0,0,106,complete
70,Simplest,queue,treatment_wait_begins,345.1737342355195,,0,107,start
70,Simplest,queue,treatment_wait_begins,359.31979642694887,,0,107,complete
38,Simplest,resource_use,treatment_begins,359.31979642694887,2.0,0,108,start
38,Simplest,resource_use,treatment_begins,359.57424804926245,2.0,0,108,complete
71,Simplest,queue,treatment_wait_begins,359.57424804926245,,0,109,start
71,Simplest,queue,treatment_wait_begins,362.2696478805882,,0,109,complete
39,Simplest,resource_use,treatment_begins,362.2696478805882,4.0,0,110,start
39,Simplest,resource_use,treatment_begins,363.8979649478985,4.0,0,110,complete
72,Simplest,queue,treatment_wait_begins,363.8979649478985,,0,111,start
72,Simplest,queue,treatment_wait_begins,374.4751537905641,,0,111,complete
40,Simplest,resource_use,treatment_begins,374.4751537905641,3.0,0,112,start
40,Simplest,resource_use,treatment_begins,377.0832112832099,3.0,0,112,complete
41,Simplest,resource_use,treatment_begins,377.0832112832099,1.0,0,113,start
41,Simplest,resource_use,treatment_begins,382.385603379184,1.0,0,113,complete
73,Simplest,queue,treatment_wait_begins,382.385603379184,,0,114,start
73,Simplest,queue,treatment_wait_begins,384.92008921154337,,0,114,complete
74,Simplest,queue,treatment_wait_begins,384.92008921154337,,0,115,start
74,Simplest,queue,treatment_wait_begins,391.34932809906456,,0,115,complete
75,Simplest,queue,treatment_wait_begins,391.34932809906456,,0,116,start
75,Simplest,queue,treatment_wait_begins,398.3754801066291,,0,116,complete
42,Simplest,resource_use,treatment_begins,398.3754801066291,2.0,0,117,start
42,Simplest,resource_use,treatment_begins,401.4434487376738,2.0,0,117,complete
76,Simplest,queue,treatment_wait_begins,401.4434487376738,,0,118,start
76,Simplest,queue,treatment_wait_begins,405.6734073024096,,0,118,complete
77,Simplest,queue,treatment_wait_begins,405.6734073024096,,0,119,start
77,Simplest,queue,treatment_wait_begins,406.0307218576052,,0,119,complete
43,Simplest,resource_use,treatment_begins,406.0307218576052,4.0,0,120,start
43,Simplest,resource_use,treatment_begins,409.3937311087342,4.0,0,120,complete
78,Simplest,queue,treatment_wait_begins,409.3937311087342,,0,121,start
78,Simplest,queue,treatment_wait_begins,411.0150510013738,,0,121,complete
44,Simplest,resource_use,treatment_begins,411.0150510013738,1.0,0,122,start
44,Simplest,resource_use,treatment_begins,412.3973431769721,1.0,0,122,complete
79,Simplest,queue,treatment_wait_begins,412.3973431769721,,0,123,start
79,Simplest,queue,treatment_wait_begins,412.7607291573078,,0,123,complete
80,Simplest,queue,treatment_wait_begins,412.7607291573078,,0,124,start
80,Simplest,queue,treatment_wait_begins,422.2779027353821,,0,124,complete
45,Simplest,resource_use,treatment_begins,422.2779027353821,3.0,0,125,start
45,Simplest,resource_use,treatment_begins,435.0236495771314,3.0,0,125,complete
81,Simplest,queue,treatment_wait_begins,435.0236495771314,,0,126,start
81,Simplest,queue,treatment_wait_begins,443.3752507544452,,0,126,complete
82,Simplest,queue,treatment_wait_begins,443.3752507544452,,0,127,start
82,Simplest,queue,treatment_wait_begins,445.9849114685685,,0,127,complete
83,Simplest,queue,treatment_wait_begins,445.9849114685685,,0,128,start
83,Simplest,queue,treatment_wait_begins,446.3003609914985,,0,128,complete
46,Simplest,resource_use,treatment_begins,446.3003609914985,2.0,0,129,start
46,Simplest,resource_use,treatment_begins,452.9632090918532,2.0,0,129,complete
47,Simplest,resource_use,treatment_begins,452.9632090918532,4.0,0,130,start
47,Simplest,resource_use,treatment_begins,454.76007341322367,4.0,0,130,complete
84,Simplest,queue,treatment_wait_begins,454.76007341322367,,0,131,start
84,Simplest,queue,treatment_wait_begins,454.7616110170401,,0,131,complete
48,Simplest,resource_use,treatment_begins,454.7616110170401,1.0,0,132,start
48,Simplest,resource_use,treatment_begins,459.83462559662814,1.0,0,132,complete
85,Simplest,queue,treatment_wait_begins,459.83462559662814,,0,133,start
85,Simplest,queue,treatment_wait_begins,459.8948724253471,,0,133,complete
86,Simplest,queue,treatment_wait_begins,459.8948724253471,,0,134,start
86,Simplest,queue,treatment_wait_begins,463.297759772408,,0,134,complete
49,Simplest,resource_use,treatment_begins,463.297759772408,3.0,0,135,start
49,Simplest,resource_use,treatment_begins,466.7464910956068,3.0,0,135,complete
87,Simplest,queue,treatment_wait_begins,466.7464910956068,,0,136,start
87,Simplest,queue,treatment_wait_begins,473.81485677914,,0,136,complete
88,Simplest,queue,treatment_wait_begins,473.81485677914,,0,137,start
88,Simplest,queue,treatment_wait_begins,476.3405878269711,,0,137,complete
89,Simplest,queue,treatment_wait_begins,476.3405878269711,,0,138,start
89,Simplest,queue,treatment_wait_begins,476.4072881321607,,0,138,complete
90,Simplest,queue,treatment_wait_begins,476.4072881321607,,0,139,start
90,Simplest,queue,treatment_wait_begins,484.4699465083371,,0,139,complete
50,Simplest,resource_use,treatment_begins,484.4699465083371,2.0,0,140,start
50,Simplest,resource_use,treatment_begins,490.0703047704975,2.0,0,140,complete
91,Simplest,queue,treatment_wait_begins,490.0703047704975,,0,141,start
91,Simplest,queue,treatment_wait_begins,500.5067253299519,,0,141,complete
92,Simplest,queue,treatment_wait_begins,500.5067253299519,,0,142,start
92,Simplest,queue,treatment_wait_begins,500.5556519375895,,0,142,complete
51,Simplest,resource_use,treatment_begins,500.5556519375895,4.0,0,143,start
51,Simplest,resource_use,treatment_begins,505.4253531649808,4.0,0,143,complete
52,Simplest,resource_use,treatment_begins,505.4253531649808,1.0,0,144,start
52,Simplest,resource_use,treatment_begins,512.9706533303655,1.0,0,144,complete
53,Simplest,resource_use,treatment_begins,512.9706533303655,3.0,0,145,start
53,Simplest,resource_use,treatment_begins,519.5293922647701,3.0,0,145,complete
93,Simplest,queue,treatment_wait_begins,519.5293922647701,,0,146,start
93,Simplest,queue,treatment_wait_begins,519.7583645919442,,0,146,complete
94,Simplest,queue,treatment_wait_begins,519.7583645919442,,0,147,start
94,Simplest,queue,treatment_wait_begins,531.2229532601098,,0,147,complete
54,Simplest,resource_use,treatment_begins,531.2229532601098,2.0,0,148,start
54,Simplest,resource_use,treatment_begins,534.2083595650006,2.0,0,148,complete
95,Simplest,queue,treatment_wait_begins,534.2083595650006,,0,149,start
95,Simplest,queue,treatment_wait_begins,539.5722799245959,,0,149,complete
55,Simplest,resource_use,treatment_begins,539.5722799245959,1.0,0,150,start
55,Simplest,resource_use,treatment_begins,542.0528899696491,1.0,0,150,complete
56,Simplest,resource_use,treatment_begins,542.0528899696491,4.0,0,151,start
56,Simplest,resource_use,treatment_begins,547.4298106712665,4.0,0,151,complete
96,Simplest,queue,treatment_wait_begins,547.4298106712665,,0,152,start
96,Simplest,queue,treatment_wait_begins,552.6397614133481,,0,152,complete
57,Simplest,resource_use,treatment_begins,552.6397614133481,3.0,0,153,start
57,Simplest,resource_use,treatment_begins,563.3567972476635,3.0,0,153,complete
97,Simplest,queue,treatment_wait_begins,563.3567972476635,,0,154,start
97,Simplest,queue,treatment_wait_begins,573.3805683361516,,0,154,complete
58,Simplest,resource_use,treatment_begins,573.3805683361516,1.0,0,155,start
58,Simplest,resource_use,treatment_begins,574.2947695172644,1.0,0,155,complete
59,Simplest,resource_use,treatment_begins,574.2947695172644,2.0,0,156,start
59,Simplest,resource_use,treatment_begins,574.2998908744562,2.0,0,156,complete
98,Simplest,queue,treatment_wait_begins,574.2998908744562,,0,157,start
98,Simplest,queue,treatment_wait_begins,576.0298582368945,,0,157,complete
99,Simplest,queue,treatment_wait_begins,576.0298582368945,,0,158,start
99,Simplest,queue,treatment_wait_begins,583.7456003948877,,0,158,complete
60,Simplest,resource_use,treatment_begins,583.7456003948877,4.0,0,159,start
60,Simplest,resource_use,treatment_begins,587.7394247808488,4.0,0,159,complete
100,Simplest,queue,treatment_wait_begins,587.7394247808488,,0,160,start
100,Simplest,queue,treatment_wait_begins,590.3211560462114,,0,160,complete
101,Simplest,queue,treatment_wait_begins,590.3211560462114,,0,161,start
101,Simplest,queue,treatment_wait_begins,593.3676049882221,,0,161,complete
102,Simplest,queue,treatment_wait_begins,593.3676049882221,,0,162,start
102,Simplest,queue,treatment_wait_begins,594.5132202806468,,0,162,complete
61,Simplest,resource_use,treatment_begins,594.5132202806468,3.0,0,163,start
61,Simplest,resource_use,treatment_begins,600.5558420038041,3.0,0,163,complete
103,Simplest,queue,treatment_wait_begins,600.5558420038041,,0,164,start
103,Simplest,queue,treatment_wait_begins,604.7474984900131,,0,164,complete
