,patient,event_type,arrival,depart
112,113,arrival_departure,519.393738073051,564.1463818012539
113,114,arrival_departure,520.9449467609295,
114,115,arrival_departure,525.7824436617983,559.4873956191101
115,116,arrival_departure,527.8516390419006,
116,117,arrival_departure,531.2740537184754,
117,118,arrival_departure,542.0729482230992,
118,119,arrival_departure,549.7815494032704,
119,120,arrival_departure,555.637784355209,
120,121,arrival_departure,556.4925340075021,
121,122,arrival_departure,562.4396386909668,
122,123,arrival_departure,564.7120303489662,
123,124,arrival_departure,565.3308483334351,
124,125,arrival_departure,567.3279769237201,
125,126,arrival_departure,567.6807641046768,
126,127,arrival_departure,572.2561898552816,
127,128,arrival_departure,577.1145744627127,
128,129,arrival_departure,578.5860750092377,
129,130,arrival_departure,578.8152820943683,
130,131,arrival_departure,592.4618343293209,
131,132,arrival_departure,596.5008301269899,
