,patient,pathway,event_type,event,time,resource_id,run
178,16,2,arrival_departure,depart,237.21740575373775,,1
179,22,2,resource_use,treatment_begins,237.21740575373775,4.0,1
180,56,2,arrival_departure,arrival,238.24236082502787,,1
181,56,2,queue,treatment_wait_begins,238.24236082502787,,1
182,57,1,arrival_departure,arrival,241.06005128697106,,1
183,57,1,queue,treatment_wait_begins,241.06005128697106,,1
184,58,2,arrival_departure,arrival,242.4802497949752,,1
185,58,2,queue,treatment_wait_begins,242.4802497949752,,1
186,59,2,arrival_departure,arrival,244.4690310645114,,1
187,59,2,queue,treatment_wait_begins,244.4690310645114,,1
188,60,2,arrival_departure,arrival,246.27574217918595,,1
189,60,2,queue,treatment_wait_begins,246.27574217918595,,1
190,61,1,arrival_departure,arrival,246.92391019530396,,1
191,61,1,queue,treatment_wait_begins,246.92391019530396,,1
192,62,2,arrival_departure,arrival,252.340535869662,,1
193,62,2,queue,treatment_wait_begins,252.340535869662,,1
194,63,2,arrival_departure,arrival,259.21978013724924,,1
195,63,2,queue,treatment_wait_begins,259.21978013724924,,1
196,64,2,arrival_departure,arrival,266.7588257904633,,1
197,64,2,queue,treatment_wait_begins,266.7588257904633,,1
198,18,2,resource_use_end,treatment_complete,273.1198644749171,1.0,1
199,18,2,arrival_departure,depart,273.1198644749171,,1
200,57,1,resource_use,treatment_begins,273.1198644749171,1.0,1
201,19,2,resource_use_end,treatment_complete,274.325287938145,2.0,1
202,19,2,arrival_departure,depart,274.325287938145,,1
203,61,1,resource_use,treatment_begins,274.325287938145,2.0,1
204,22,2,resource_use_end,treatment_complete,275.2058178030438,4.0,1
205,22,2,arrival_departure,depart,275.2058178030438,,1
206,23,2,resource_use,treatment_begins,275.2058178030438,4.0,1
207,17,2,resource_use_end,treatment_complete,279.6254685109471,3.0,1
208,17,2,arrival_departure,depart,279.6254685109471,,1
209,24,2,resource_use,treatment_begins,279.6254685109471,3.0,1
210,65,2,arrival_departure,arrival,293.3082397692622,,1
211,65,2,queue,treatment_wait_begins,293.3082397692622,,1
212,66,2,arrival_departure,arrival,303.841540943146,,1
213,66,2,queue,treatment_wait_begins,303.841540943146,,1
214,67,2,arrival_departure,arrival,312.06587014562393,,1
215,67,2,queue,treatment_wait_begins,312.06587014562393,,1
216,57,1,resource_use_end,treatment_complete,315.53088597047247,1.0,1
217,57,1,arrival_departure,depart,315.53088597047247,,1
218,25,2,resource_use,treatment_begins,315.53088597047247,1.0,1
219,61,1,resource_use_end,treatment_complete,315.86421229409024,2.0,1
220,61,1,arrival_departure,depart,315.86421229409024,,1
221,26,2,resource_use,treatment_begins,315.86421229409024,2.0,1
222,23,2,resource_use_end,treatment_complete,316.9900519816555,4.0,1
223,23,2,arrival_departure,depart,316.9900519816555,,1
224,28,2,resource_use,treatment_begins,316.9900519816555,4.0,1
225,68,2,arrival_departure,arrival,317.28332755550696,,1
226,68,2,queue,treatment_wait_begins,317.28332755550696,,1
227,69,2,arrival_departure,arrival,320.2459485503109,,1
228,69,2,queue,treatment_wait_begins,320.2459485503109,,1
229,70,2,arrival_departure,arrival,320.46821633167013,,1
230,70,2,queue,treatment_wait_begins,320.46821633167013,,1
231,24,2,resource_use_end,treatment_complete,321.50391899214605,3.0,1
232,24,2,arrival_departure,depart,321.50391899214605,,1
233,29,2,resource_use,treatment_begins,321.50391899214605,3.0,1
234,71,2,arrival_departure,arrival,325.25123026577114,,1
235,71,2,queue,treatment_wait_begins,325.25123026577114,,1
236,72,1,arrival_departure,arrival,328.35814570323583,,1
237,72,1,queue,treatment_wait_begins,328.35814570323583,,1
238,73,1,arrival_departure,arrival,335.8979525787838,,1
239,73,1,queue,treatment_wait_begins,335.8979525787838,,1
240,74,2,arrival_departure,arrival,346.037960484565,,1
241,74,2,queue,treatment_wait_begins,346.037960484565,,1
242,75,2,arrival_departure,arrival,347.69830455805135,,1
243,75,2,queue,treatment_wait_begins,347.69830455805135,,1
244,76,2,arrival_departure,arrival,347.94705816407,,1
245,76,2,queue,treatment_wait_begins,347.94705816407,,1
246,77,2,arrival_departure,arrival,352.5711693396838,,1
247,77,2,queue,treatment_wait_begins,352.5711693396838,,1
248,26,2,resource_use_end,treatment_complete,353.5967301978835,2.0,1
249,26,2,arrival_departure,depart,353.5967301978835,,1
250,72,1,resource_use,treatment_begins,353.5967301978835,2.0,1
251,28,2,resource_use_end,treatment_complete,354.2286216557717,4.0,1
252,28,2,arrival_departure,depart,354.2286216557717,,1
253,73,1,resource_use,treatment_begins,354.2286216557717,4.0,1
254,29,2,resource_use_end,treatment_complete,357.37027837937836,3.0,1
255,29,2,arrival_departure,depart,357.37027837937836,,1
256,30,2,resource_use,treatment_begins,357.37027837937836,3.0,1
257,78,1,arrival_departure,arrival,365.3382663386541,,1
258,78,1,queue,treatment_wait_begins,365.3382663386541,,1
259,25,2,resource_use_end,treatment_complete,367.35193108649406,1.0,1
260,25,2,arrival_departure,depart,367.35193108649406,,1
261,78,1,resource_use,treatment_begins,367.35193108649406,1.0,1
262,79,2,arrival_departure,arrival,369.44362432169635,,1
263,79,2,queue,treatment_wait_begins,369.44362432169635,,1
264,80,2,arrival_departure,arrival,380.09833875091823,,1
265,80,2,queue,treatment_wait_begins,380.09833875091823,,1
266,81,2,arrival_departure,arrival,383.8634124776174,,1
267,81,2,queue,treatment_wait_begins,383.8634124776174,,1
268,82,2,arrival_departure,arrival,390.4333827158369,,1
269,82,2,queue,treatment_wait_begins,390.4333827158369,,1
270,83,2,arrival_departure,arrival,391.8772976892559,,1
271,83,2,queue,treatment_wait_begins,391.8772976892559,,1
272,84,2,arrival_departure,arrival,392.54938394344936,,1
273,84,2,queue,treatment_wait_begins,392.54938394344936,,1
274,85,2,arrival_departure,arrival,393.26178810715084,,1
275,85,2,queue,treatment_wait_begins,393.26178810715084,,1
276,86,2,arrival_departure,arrival,393.85019969752625,,1
277,86,2,queue,treatment_wait_begins,393.85019969752625,,1
278,87,2,arrival_departure,arrival,394.1235652920939,,1
279,87,2,queue,treatment_wait_begins,394.1235652920939,,1
280,72,1,resource_use_end,treatment_complete,396.45191071385847,2.0,1
281,72,1,arrival_departure,depart,396.45191071385847,,1
282,31,2,resource_use,treatment_begins,396.45191071385847,2.0,1
283,30,2,resource_use_end,treatment_complete,396.50222181208954,3.0,1
284,30,2,arrival_departure,depart,396.50222181208954,,1
285,32,2,resource_use,treatment_begins,396.50222181208954,3.0,1
286,73,1,resource_use_end,treatment_complete,399.91052623913504,4.0,1
287,73,1,arrival_departure,depart,399.91052623913504,,1
288,33,2,resource_use,treatment_begins,399.91052623913504,4.0,1
289,88,2,arrival_departure,arrival,402.7065312495663,,1
290,88,2,queue,treatment_wait_begins,402.7065312495663,,1
291,78,1,resource_use_end,treatment_complete,403.1006558643084,1.0,1
292,78,1,arrival_departure,depart,403.1006558643084,,1
293,34,2,resource_use,treatment_begins,403.1006558643084,1.0,1
294,89,2,arrival_departure,arrival,404.9496062434009,,1
295,89,2,queue,treatment_wait_begins,404.9496062434009,,1
296,90,2,arrival_departure,arrival,406.8802625567264,,1
297,90,2,queue,treatment_wait_begins,406.8802625567264,,1
